filename,model,line_count,job_count,step_count,section_1.1,section_1.2,section_1.3,section_1.4,section_1.5,section_2.1,section_2.2,section_2.3,section_2.4,section_2.5,section_2.6,section_2.7,section_2.8,section_2.9,section_2.10,section_2.11,section_3.1,section_3.2,section_3.3,section_3.4,section_3.5,section_3.6,section_3.7,section_3.8,section_4.1,section_4.2,section_4.3,section_4.4,section_4.5,section_5.1,section_5.2,section_5.3,section_5.4,section_5.5,section_5.6,section_5.7,section_5.8,section_5.9,section_5.10,section_5.11,section_5.12,section_5.13,section_5.14,section_5.15,section_5.16,section_6.1,section_6.2,section_6.3,section_6.4,section_6.5,section_6.6,section_6.7,section_6.8,section_6.9,section_6.10,section_6.11,section_6.12,section_6.13,section_6.14,section_6.15,section_6.16,section_6.17,section_6.18,section_6.19,section_6.20,section_6.21,section_6.22,section_6.23,section_6.24,section_6.25,section_6.26,section_6.27,section_6.28,section_6.29,section_6.30,section_7.1,section_7.2,section_7.3,section_8.1,section_8.2,section_8.3,section_9.1,section_9.2,section_9.3,section_9.4,section_9.5,section_10.1,section_10.2,section_10.3,section_10.4,section_10.5,section_10.6,section_11.1,section_11.2,section_11.3,section_11.4,section_11.5,section_11.6,section_11.7,section_12.1,section_12.2
java/1C-Company@ssl-support/gha_release.yml,mistral:7b,77,1,11,Yes.,Yes.,No. The input 'tag_name' is not validated to ensure it matches expected formats before being used in release steps.,N/A. No workflow-level description provided.,Yes.,Yes.,No. Missing explicit event specification in the on block.,N/A. The runner image is not explicitly pinned to a specific version.,N/A. The runner image is not specified with an up-to-date tag.,N/A. No schedule configuration provided.,No. Missing appropriate safeguards for pull_request_target event.,N/A. The fetch-depth parameter is not explicitly set in the actions/checkout step.,N/A. System dependencies are not explicitly pinned to specific versions.,Yes.,N/A. The runner is not explicitly versioned.,No. Missing branch filtering in push event filter.,Yes.,"No. The GITHUB_TOKEN is used at the workflow level, but it could be scoped more narrowly to specific jobs.",N/A. There are no job dependencies explicitly defined in this workflow.,Yes.,Yes.,N/A. Permissions are not explicitly defined in the provided configuration.,N/A. Workflow-level permissions are not explicitly scoped in the provided configuration.,N/A. Job permissions are not explicitly scoped in the provided configuration.,Yes.,Yes.,Yes.,N/A. Environment variables are not defined in the provided configuration.,"No. The DISPLAY variable is set within a step, which may introduce inconsistencies across different steps and jobs.",Yes.,Yes.,N/A.,Yes.,N/A.,N/A.,N/A.,Yes.,N/A.,N/A.,Yes.,Yes.,N/A.,Yes.,N/A.,N/A.,Yes.,Yes.,Yes.,N/A.,N/A.,N/A.,N/A.,N/A.,Yes.,Yes.,N/A.,Yes.,N/A.,"Yes. Partially Yes. The cache key uses runner.os, but it could be more portable.",N/A.,N/A.,Yes.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,Yes.,"Yes. Partially Yes. The workflow is modular for build and upload, but could benefit from more separation of testing.",N/A.,Yes.,Yes.,Yes. Partially Yes. Testing is not separated into a dedicated job.,N/A.,Yes.,No. No explicit job dependencies are defined.,Yes.,Yes.,Yes.,N/A.,No. Concurrency is not explicitly configured.,N/A. The configuration does not limit the number of concurrent runs.,N/A. There's no evidence of concurrency control to prevent overlapping workflow executions.,N/A. Concurrency control for managing parallel executions safely is not implemented.,No. Concurrency key is not used explicitly.,Yes.,N/A.,No. The timeout is not explicitly set for jobs in the provided workflow.,No. The timeout is not defined globally or per job to prevent long-running or stalled executions.,N/A.,No. The timeout is not set for jobs to prevent indefinite execution due to stuck processes.,Yes.,Yes.,N/A.,Yes.,Yes.,No. Matrix variables are not validated.,No. No caching mechanism is used to store dependencies within matrix jobs.,Yes.,N/A.
java/4drian3d@AuthMeVelocity/gha_gradle.yml,mistral:7b,27,1,4,Yes.,Yes.,N/A. The provided configuration does not include input validation.,No. No workflow-level description is provided to explain the purpose and context of the automation.,Yes.,Yes.,No. Missing event specification in on key,N/A. The runner image is not explicitly pinned to a specific version.,N/A. The runner image does not specify an outdated or up-to-date version.,N/A. No schedule configuration provided.,"N/A. pull_request_target event is used, but no safeguards are specified",N/A. The fetch-depth parameter is not configured in the actions/checkout step,N/A. No explicit versioning for runners or system dependencies provided.,N/A. No fragile synchronization methods are used in this workflow,N/A. The runner is not explicitly versioned.,No. Missing branch filtering in push event filter.,Yes.,N/A. The workflow does not control the access level for the GITHUB_TOKEN explicitly.,N/A. There are no job dependencies defined in this workflow.,No. Tokens used for publishing artifacts are not scoped specifically to the job and stored securely. (uses/actions/upload-artifact@v4),N/A. The workflow does not use secrets explicitly.,N/A. Permissions are not defined explicitly in this workflow.,N/A. Job-level or workflow-level permissions are not scoped narrowly to follow the principle of least privilege in this workflow.,N/A. Job permissions are not explicitly scoped to follow the principle of least privilege in this workflow.,Yes.,Yes.,Yes.,N/A. Environment variables are not defined in the provided configuration.,Yes.,Yes.,N/A. Environment variables are not explicitly defined in the provided configuration.,N/A. No environment variable validation is present in the provided configuration.,No. MINIKUBE_VERSION and KUBERNETES_VERSION are exposed in the workflow.,N/A. Credentials are not hardcoded in the provided files.,N/A. curl is not used to download binaries from external sources in the provided configuration.,N/A. The Docker build process is not present in the provided configuration.,Yes.,N/A. No elevated privileges are used in the provided workflow.,N/A. The Docker build process is not present in the provided configuration.,N/A. Container images and external resources are not explicitly defined in the provided configuration.,N/A. Sensitive environment variables are not passed to commands in the provided configuration.,N/A. Environment-specific paths or variables are not dynamically resolved in the provided configuration.,N/A. No secrets are hardcoded or exposed in environment variables in the provided configuration.,N/A. Secrets and environment variables are not scoped only to the steps or jobs that require them in the provided configuration.,No. Missing required environment variable 'GITHUB_TOKEN' in Upload artifact step,Yes.,Yes.,Yes.,N/A.,N/A.,N/A.,N/A.,N/A.,Yes. dependencies are cached using 'gradle' cache in setup-java action,N/A.,"No. Third-party actions are not pinned to specific commit SHAs (example, uses: actions/checkout@v4)",N/A.,N/A.,Yes. The caching strategy is portable and resilient as it uses a cache key ('gradle') instead of runner-specific details,Yes. The workflow uses a well-documented and supported runner environment (ubuntu-latest),N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,Yes. Caching is used for dependencies in the setup-java action,N/A.,N/A.,N/A.,N/A.,"No. Jobs are not modular, as there is no separate job for testing in the workflow",N/A.,Yes.,No. No explicit job dependencies are defined. Jobs may start concurrently.,N/A.,Yes.,Yes.,N/A. The provided workflow does not have multiple jobs to check for missing outputs.,No. Concurrency is not explicitly configured in the provided workflow.,N/A. The question does not relate to the configuration provided as there are no concurrent limits specified.,N/A. The question does not relate to the configuration provided as there are no concurrent jobs or workflows.,N/A. The question does not relate to the configuration provided as there is no concurrency control implemented in the provided workflow.,No. Concurrency key is not used explicitly for preventing overlapping runs where necessary.,Yes.,N/A.,Yes. jobs.build.timeout-minutes,Yes. The timeout is defined for the job (jobs.build.timeout-minutes),Yes. Appropriate step timeouts are configured using 'nick-invision/retry@v3' action with timeout_minutes and max_attempts,Yes. The job times out after 5 minutes (jobs.build.timeout-minutes),Yes.,Yes.,N/A. The provided workflow does not use duplicate-skipping strategies.,N/A. The provided workflow does not use dynamic or scoped cache keys.,N/A. Dependency caching is not implemented using 'actions/cache' in the provided workflow.,N/A. Matrix variables are not defined explicitly in the provided workflow.,"N/A. The provided workflow does not use matrix jobs, so there is no need for a caching strategy within matrix jobs.",Yes.,N/A.
java/721806280@lark-notice-plugin/gha_jenkins-security-scan.yml,mistral:7b,17,1,1,Yes.,Yes.,N/A. The provided YAML does not include any explicit input validation.,N/A. No workflow-level description is provided.,Yes.,Yes.,No. Missing event specification in push event.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,No. Missing branch filtering in push event.,Yes.,N/A.,No. The workflow has multiple jobs (security-scan) that could potentially be consolidated into a single job.,N/A.,N/A.,Yes.,N/A.,N/A.,Yes.,No. jobs.security-scan.uses.yaml@v2 does not explicitly define shell for the security-scan job.,Yes.,N/A. The provided configuration does not set environment variables at workflow or job level.,N/A. The provided configuration does not contain multiple steps or jobs to compare consistency.,Yes.,N/A.,N/A.,Yes.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,Yes.,N/A.,N/A.,Yes.,Yes.,Yes. The runner is specified as ubuntu-latest.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,Yes. The action is pinned to a specific version.,Yes.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,Yes. The workflow includes a security scan step.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,Yes.,Yes.,Yes.,Yes.,Yes.,N/A.,No. Concurrency is not explicitly configured.,N/A. The question does not relate to the configuration provided as there's no explicit limit on concurrent runs.,N/A. The question does not relate to the configuration provided as there's no explicit control over preventing overlapping workflow executions.,N/A. The question does not relate to the configuration provided as there's no explicit implementation for managing parallel executions safely.,No. Concurrency is not explicitly configured using a concurrency key.,Yes.,N/A.,Yes.,Yes.,N/A.,Yes.,Yes.,Yes.,N/A.,N/A.,N/A.,N/A.,N/A.,Yes.,N/A.
java/ASSERT-KTH@sorald/gha_sorald_buildbreaker.yml,mistral:7b,16,1,2,Yes.,Yes.,N/A. The provided configuration does not include input validation.,No. No workflow-level description is provided to explain the purpose and context of the automation.,Yes.,Yes.,"No. on event is only pull_request and push, missing workflow_dispatch and manual triggers.",Yes.,N/A. The runner image version is not specified.,N/A. No schedule configuration provided.,N/A. No safeguards for pull_request event are visible.,N/A. fetch-depth parameter is not specified in actions/checkout.,N/A. System dependencies are not explicitly versioned.,N/A. No fragile synchronization methods are used in the provided steps.,No. runner image is 'ubuntu-latest'.,Yes.,Yes.,N/A. GITHUB_TOKEN access level is not explicitly controlled in this workflow.,N/A. The workflow does not show job dependencies as per the example provided.,N/A. No tokens are used for publishing or releasing artifacts in this workflow.,Yes.,N/A. Permissions are not explicitly defined in this workflow.,N/A. Workflow-level permissions are not scoped in this workflow.,N/A. Job permissions are not explicitly scoped in this workflow.,Yes.,Yes.,Yes.,N/A.,Yes.,Yes.,N/A. Environment variables are not explicitly defined in the provided configuration.,N/A. No environment variable validation is present in the provided configuration.,No. Secrets MINIKUBE_VERSION and KUBERNETES_VERSION are exposed in the workflow (line 12).,N/A. Credentials are not hardcoded in the provided files.,Yes.,N/A. The Docker build process is not present in the provided configuration.,Yes.,N/A. No elevated privileges are used in the provided configuration.,N/A. The Docker build process is not present in the provided configuration.,N/A. Container images and external resources are not explicitly defined in the provided configuration.,Yes.,N/A. No dynamic resolution of environment paths or variables is present in the provided configuration.,N/A. Secrets are not managed in the provided configuration.,N/A. Secrets and environment variables are not scoped to specific steps or jobs in the provided configuration.,N/A. Required environment variables are not explicitly defined for jobs that depend on them in the provided configuration.,Yes.,Yes.,Yes.,N/A.,No. Secrets are hardcoded in the YAML file.,N/A.,N/A.,N/A.,Yes.,Yes.,No. Third-party actions are not pinned to specific commit SHAs.,N/A.,N/A.,Yes.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,Yes.,Yes. Partially,N/A.,N/A.,N/A.,"No. Jobs are not modular, with no separate job for testing.",N/A.,Yes.,Yes.,Yes.,Yes.,Yes.,N/A.,No. Concurrency is not explicitly configured.,N/A. The question does not relate to the configuration provided as there are no concurrent limits specified.,N/A. The question does not relate to the configuration provided as there are no concurrent jobs or workflows.,N/A. The question does not relate to the configuration provided as there is no concurrency control implemented.,No. Concurrency key is not used explicitly for preventing overlapping runs.,Yes.,N/A.,No. No timeout value is specified for the job in the YAML file.,No. No timeout value is defined for jobs or workflow as a whole.,N/A.,"No. No timeout value is set for the jobs, which could potentially lead to indefinite execution.",Yes.,Yes.,N/A. The provided workflow does not use duplicate-skipping strategies.,N/A. The provided workflow does not define a caching strategy using dynamic or scoped cache keys.,N/A. The provided workflow does not implement dependency caching.,N/A. The provided workflow does not have matrix variables for validation.,"N/A. The provided workflow does not use a matrix, so it cannot be determined if a caching strategy is used within matrix jobs.",Yes.,N/A.
java/Ahoo-Wang@CosId/gha_benchmark-test.yml,mistral:7b,73,3,11,Yes.,Yes.,No. The input 'tag_name' is not used in release steps.,N/A. No workflow-level description provided.,Yes.,Yes.,No. The events that trigger the workflow are not specified.,N/A. The runner image is not explicitly pinned to a specific version.,N/A. The runner image is not explicitly pinned to an up-to-date version.,N/A. No schedule configuration is provided.,"N/A. The pull_request event is present, but no safeguards are mentioned.",N/A. The fetch-depth parameter is not specified in actions/checkout.,N/A. No dependencies are explicitly pinned to specific versions.,N/A. No fragile synchronization methods like 'sleep' or 'xvfb-run' are used.,N/A. The runner is not explicitly versioned.,No. Missing branch filtering in push event filter.,Yes.,No. The GITHUB_TOKEN access level is not controlled at workflow or job level.,N/A. There are no dependencies between jobs in the provided configuration.,N/A. No tokens are used for publishing or releasing artifacts in the provided configuration.,Yes.,N/A. Permissions are not explicitly defined in the provided configuration.,N/A. Job-level and workflow-level permissions are not scoped in the provided configuration.,N/A. Job permissions are not explicitly scoped in the provided configuration.,Yes.,No. The default shell is not explicitly set for all run steps.,Yes.,N/A. No critical environment variables are defined at the workflow or job level in this configuration.,No. The working directory is not consistently set across steps and jobs.,Yes.,N/A.,N/A.,No. MINIKUBE_VERSION and KUBERNETES_VERSION are exposed in the workflow,N/A.,N/A.,N/A.,Yes.,N/A.,N/A.,N/A.,N/A.,N/A.,No. Sensitive environment variables are exposed in the workflow,No. Excessive environment variables set using $GITHUB_ENV,N/A.,Yes.,Yes.,Yes.,N/A.,No. Secrets are hardcoded in the YAML file.,N/A.,N/A.,N/A.,N/A.,N/A.,No. Third-party actions are not pinned to specific commit SHAs.,Yes.,N/A.,N/A.,N/A.,N/A.,No. Command-line tools are not wrapped with proper failure detection.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,"No. Jobs are not modular, with setup, testing, and deployment not clearly separated.",N/A.,Yes.,No. No explicit job dependencies are defined.,Yes. Dependencies between jobs are declared using 'needs'.,Yes.,No. Jobs do not pass data to subsequent jobs.,N/A. There are no job outputs defined or used in this workflow.,No. Concurrency is not explicitly configured.,N/A.,N/A.,N/A.,No. Concurrency control is not implemented.,Yes.,N/A.,No. No timeout value is specified for jobs in the workflow.,No. No timeout value is specified for jobs in the workflow.,N/A.,No. No timeout value is specified for jobs in the workflow.,Yes.,No. Matrix builds and fail-fast behavior are not defined.,N/A. The configuration does not use duplicate-skipping strategies.,N/A. The configuration does not use dynamic or scoped cache keys.,N/A. Dependency caching is not implemented using 'actions/cache' or similar.,No. Matrix variables (like Python versions) are not validated or constrained to supported values.,N/A. A caching strategy is not used within matrix jobs.,Yes.,N/A.
java/Aiven-Open@jdbc-connector-for-apache-kafka/gha_create_release.yml,mistral:7b,74,1,7,Yes.,Yes.,No. The input 'tag_name' is not validated for format before being used in release steps.,N/A.,Yes.,Yes.,No. The event that triggers the workflow is not explicitly specified.,Yes.,N/A. The runner image version is not compared to an up-to-date one.,N/A. No schedule configuration is provided.,N/A. The pull_request_target event is not used.,N/A. The fetch-depth parameter is not specified in the actions/checkout step.,N/A. System dependencies are not explicitly versioned.,N/A. No fragile synchronization methods are used.,N/A. The runner is not explicitly versioned.,No. Missing branch filtering in push event filter.,Yes.,No. GITHUB_TOKEN access level is not controlled at workflow or job level.,N/A.,Yes.,Yes.,N/A.,N/A.,N/A.,Yes.,No. The default shell is not explicitly set for all run steps.,Yes.,Yes.,N/A.,Yes.,N/A.,N/A.,Yes.,N/A.,N/A.,N/A.,Yes.,N/A.,N/A.,N/A.,Yes.,N/A.,Yes.,N/A.,N/A.,Yes.,Yes.,Yes.,N/A.,N/A.,No. No validation for user inputs.,No. No input validation.,N/A.,N/A.,Yes.,N/A.,Yes.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,"No. Lack of modular structure, no separate job for testing in workflow.",N/A.,Yes.,No. No explicit dependencies are defined in the YAML workflow.,Yes.,Yes.,No. Jobs do not pass data to subsequent jobs directly.,N/A. There are no multi-job flows in this workflow.,N/A.,No. Concurrency is not explicitly configured.,N/A.,No. Concurrency control is not implemented.,No. A concurrency key is not used.,Yes.,N/A.,No. No explicit timeout is set for the job.,No. No explicit timeout is defined for jobs or workflow.,No. No timeouts are configured for individual steps or jobs.,Yes.,Yes.,Yes.,N/A.,N/A.,N/A.,N/A.,No. No caching mechanism is used to store dependencies.,Yes.,N/A.
java/Aiven-Open@transforms-for-apache-kafka-connect/gha_master_push_and_pull_request_workflow.yml,mistral:7b,25,1,3,Yes.,Yes.,No. No validation for 'tag_name' input is provided.,N/A. No workflow-level description is provided.,Yes.,Yes.,No. Events are not explicitly specified. Only push and pull_request events are defined.,N/A. The runner image is not pinned to a specific version.,N/A. The runner image is not updated.,N/A. No schedule configuration is provided.,No. Appropriate safeguards are not implemented for pull_request event.,N/A. The fetch-depth parameter is not defined in the provided workflow.,N/A. System dependencies are not pinned to specific versions.,N/A. No fragile synchronization methods are used in the provided workflow.,N/A. The runner is not explicitly versioned.,No. Branch filtering is missing in push event filter.,Yes.,No. GITHUB_TOKEN access level is not controlled at workflow or job level.,N/A. The provided configuration does not show job dependencies.,N/A. No tokens are used for publishing or releasing artifacts in the given workflow.,Yes.,N/A. Permissions are not explicitly defined in the provided workflow.,N/A. Workflow-level permissions are not shown in the provided workflow.,N/A. Job permissions are not explicitly scoped in the provided workflow.,Yes.,No. jobs.build.steps[1].run does not explicitly set the shell.,Yes.,N/A. The provided configuration does not define critical environment variables at the workflow or job level.,N/A. The provided configuration does not contain multiple steps or jobs to compare default shell and working directory settings.,Yes.,No. Environment variables are not defined for all jobs and specific steps.,N/A. Validation of environment variables is not applicable in this configuration.,Yes.,N/A. Credentials are not hardcoded in the provided workflow.,N/A. curl is not used to download binaries from external sources in this configuration.,N/A. The Docker build process is not present in this configuration.,Yes.,N/A. Elevated privileges are not used in the provided workflow.,N/A. The Docker build process is not present in this configuration.,No. Container images and external resources are not explicitly defined to prevent ambiguity or accidental use of unintended sources.,N/A. Sensitive environment variables are not passed securely to commands in this configuration.,N/A. Environment-specific paths or variables are not dynamically resolved in this configuration.,Yes.,No. Excessive environment variables set using $GITHUB_ENV.,No. Required environment variable 'WEB3_PROVIDER_URL' is missing in the tests job.,Yes.,Yes.,Yes.,N/A.,No. Secrets are hardcoded in the YAML file.,N/A.,N/A.,N/A.,Yes.,Yes.,No. Third-party actions are not pinned to specific commit SHAs.,Yes.,N/A.,Yes.,Yes.,N/A.,Yes.,N/A.,No. Conditional job execution is handled using pre-jobs.,N/A.,N/A.,N/A.,N/A.,Yes.,Yes. Partially,N/A.,Yes.,Yes.,No. Jobs are not modular.,N/A.,Yes.,No. No explicit job dependencies are defined. Jobs start concurrently.,N/A.,Yes.,Yes.,N/A. The provided workflow does not pass data between jobs.,No. Concurrency is not explicitly configured.,N/A. The question does not relate to the configuration provided.,N/A. The question does not relate to the configuration provided.,N/A. The question does not relate to the configuration provided.,No. Concurrency is not explicitly configured.,Yes.,N/A.,No. No explicit timeout is set for the job. The default timeout for a job on GitHub Actions is 60 minutes.,No. No explicit timeout is defined for the workflow as a whole.,N/A.,Yes.,Yes.,Yes.,N/A. The provided configuration does not use duplicate-skipping strategies.,N/A. No caching strategy is defined to use dynamic or scoped cache keys.,N/A. Dependency caching is not implemented using 'actions/cache' or similar.,No. Matrix variable 'java-version' is not validated.,N/A. No caching mechanism is used within matrix jobs.,Yes.,N/A.
java/Aizistral-Studios@No-Chat-Reports/gha_gitlabsync.yml,mistral:7b,17,1,2,Yes.,Yes.,N/A.,No. No workflow-level description provided.,Yes.,Yes.,"No. Triggers are not specified, only events are defined.",Yes.,N/A.,N/A.,N/A.,Yes.,N/A.,N/A.,N/A.,No. Missing branch filtering in push event.,Yes.,N/A. The GITHUB_TOKEN is not explicitly controlled at workflow or job level in this configuration.,N/A. There are no dependencies between jobs defined in this workflow.,No. Tokens used for publishing or releasing artifacts (TARGET_TOKEN) are not scoped specifically to the job and stored securely to minimize exposure risk.,Yes.,N/A. Permissions are not explicitly defined in this workflow.,N/A. Job-level or workflow-level permissions are not scoped narrowly to follow the principle of least privilege in this configuration.,N/A. Job permissions are not explicitly scoped to follow the principle of least privilege in this configuration.,Yes.,Yes.,Yes.,Yes.,N/A.,Yes.,Yes.,N/A.,Yes.,N/A.,N/A.,N/A.,Yes.,N/A.,N/A.,N/A.,Yes.,N/A.,Yes.,N/A.,N/A.,Yes.,Yes.,Yes.,N/A.,No. Secrets are hardcoded in the YAML file.,N/A.,N/A.,N/A.,N/A.,N/A.,No. Third-party actions are not pinned to specific commit SHAs.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,"No. Jobs are not modular, with no separate job for testing.",N/A.,Yes.,No. No explicit job dependencies are defined.,Yes.,Yes.,N/A.,N/A.,N/A.,No. Concurrency is not explicitly configured.,N/A.,No. Concurrency control is not implemented.,No. A concurrency key is not used.,Yes.,N/A.,No. The timeout is not explicitly set for the job in minutes (jobs.sync.timeout-minutes).,No. No explicit timeout limit is defined for jobs or workflow.,N/A.,No. Timeout is not explicitly set for jobs to prevent indefinite execution due to stuck processes.,Yes.,Yes.,N/A.,N/A.,N/A.,No. Matrix variables are not validated.,N/A.,Yes.,N/A.
java/AlexProgrammerDE@PistonQueue/gha_gradle.yml,mistral:7b,28,1,5,Yes.,Yes.,No. The input 'tag_name' is not used in this workflow.,N/A.,Yes.,Yes.,No. The events are not explicitly specified.,Yes.,N/A. The runner image is not compared with an up-to-date one.,N/A. No schedule configuration provided.,"N/A. pull_request_target event is used, but no safeguards are mentioned.",N/A. The fetch-depth parameter is not specified.,Yes.,N/A. No fragile synchronization methods are found in the provided workflow.,No. The runner is using 'ubuntu-latest'.,No. Branch filtering is missing in push event filter.,Yes.,N/A. The GITHUB_TOKEN access level is not explicitly controlled in the provided workflow.,N/A. The workflow does not have job dependencies as per the example given.,No. The artifact token (used for publishing) is not scoped specifically to the job and stored securely.,Yes.,N/A. Permissions are not explicitly defined in the provided workflow.,N/A. Job-level or workflow-level permissions are not shown in the provided workflow.,N/A. Job permissions are not explicitly scoped in the provided workflow.,Yes.,No. jobs.build.steps[3].run does not explicitly set the shell.,Yes.,N/A. The environment variables are not defined in this configuration.,"No. jobs.build.steps[0] uses actions/checkout@11bd71901bbe5b1630ceea73d27597364c9af683 which implicitly sets the shell to bash, but other steps do not explicitly set the shell.",Yes.,N/A.,N/A.,Yes.,N/A.,N/A.,N/A.,Yes.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,"No. Missing required environment variable for dependent jobs (example, 'WEB3_PROVIDER_URL' in tests job)",Yes.,Yes.,Yes.,Yes.,N/A.,N/A.,N/A.,N/A.,Yes. Steps use caching for Gradle and JDK.,Yes.,Yes.,N/A.,N/A.,Yes.,Yes.,N/A.,Yes. Gradle command is wrapped with exit 1.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,Yes. Gradle caching is used.,Yes.,N/A.,N/A.,N/A.,N/A.,N/A.,Yes.,No. The workflow does not have explicit job dependencies defined.,N/A.,Yes.,Yes.,N/A.,N/A.,No. Concurrency is not explicitly set.,N/A.,N/A.,No. Concurrency is not explicitly used for deploy jobs.,Yes.,N/A.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,N/A. The provided workflow does not use duplicate-skipping strategies.,Yes.,Yes.,No. Matrix variables are not explicitly validated or constrained.,N/A. The matrix is not used in this workflow.,Yes.,N/A.
java/AlloyTools@org.alloytools.alloy/gha_build.yml,mistral:7b,24,1,4,Yes.,Yes.,No. The input 'tag_name' is not used in the provided workflow.,N/A.,Yes.,Yes.,No. on event is only pull_request.,Yes.,N/A. The runner image version is not specified.,N/A. No schedule configuration provided.,"N/A. Pull_request_target event is used, but no safeguards are explicitly mentioned.",N/A. fetch-depth parameter is not defined in the provided YAML.,N/A. No explicit versioning for runners or dependencies found.,N/A. No fragile synchronization methods are used in the provided YAML.,"N/A. The runner is using ubuntu-latest, but no explicit versioning is mentioned.",No. Missing branch filtering in push event.,Yes.,No. The GITHUB_TOKEN access level is not controlled at workflow or job level.,N/A. There are no dependencies between jobs in the provided workflow.,N/A. No tokens are used for publishing or releasing artifacts in the provided workflow.,Yes.,N/A. Permissions are not explicitly defined in the provided workflow.,No. The workflow does not have job-level or workflow-level permissions scoped narrowly to follow the principle of least privilege.,N/A. Job permissions are not explicitly scoped in the provided workflow.,Yes.,Yes.,Yes.,Yes.,N/A.,Yes.,Yes.,N/A. No validation is performed.,Yes.,N/A. Credentials are not hardcoded in the provided configuration.,N/A. curl is not used to download binaries from external sources.,N/A. Docker build process is not defined in the provided configuration.,Yes.,N/A. No elevated privileges are used in the workflow.,N/A. Docker build process is not defined in the provided configuration.,N/A. Container images and external resources are not explicitly defined.,Yes.,N/A. No dynamic resolution of environment paths or variables is observed.,Yes.,N/A. Secrets and environment variables are not excessively set using $GITHUB_ENV.,N/A. Required environment variable 'WEB3_PROVIDER_URL' is not used in the provided workflow.,Yes.,Yes.,Yes.,N/A.,No. Secrets are hardcoded in the YAML file.,N/A.,N/A.,N/A.,Yes.,Yes.,No. Third-party actions are not pinned to specific commit SHAs.,N/A.,N/A.,Yes.,N/A.,N/A.,No. Command-line tools are not wrapped with proper failure detection.,N/A.,N/A.,N/A.,N/A.,N/A.,N/A.,Yes.,Yes. Partially,N/A.,N/A.,N/A.,No. Jobs are not modular.,N/A.,Yes.,No. No explicit job dependencies are defined.,Yes.,N/A.,Yes.,N/A.,No. Concurrency is not explicitly configured.,N/A. The question does not relate to the configuration provided.,N/A. The question does not relate to the configuration provided.,N/A. The question does not relate to the configuration provided.,No. Concurrency is not explicitly configured.,No. Timeouts are not explicitly set for the workflow.,N/A. The question does not relate to the configuration provided as there is no time limit set for the workflow.,No. There is no jobs.<job_id>.timeout-minutes value specified in the YAML file.,No. Timeout limits are not defined for jobs in this workflow.,N/A. The question does not relate to the configuration provided as there are no specific job or step timeouts configured.,"No. Timeouts are not explicitly set for jobs, which may potentially lead to indefinite execution due to stuck processes.",Yes.,No. Matrix builds and fail-fast behavior are not defined.,N/A. The provided workflow does not use duplicate-skipping strategies.,N/A. The provided workflow does not use dynamic or scoped cache keys.,N/A. Dependency caching is not implemented in the provided workflow.,No. Matrix variables (like Java version) are not validated.,No. A caching strategy is not used within matrix jobs to avoid redundant work across configurations.,Yes.,N/A.
