filename,Question_id,models_total,majority_answer,majority_full_example,agree_models,disagree_models,agree_count,disagree_count,agreement_percentage,yes_count,no_count,na_count,CHECK_exact2_any,gpt5_answer,_base_counts,audit_verdict,manual_check,post_yes,post_no,post_na,Unique,100%,75%,50%
java/1C-Company@ssl-support/gha_release.yml,Question_06.1,4,yes,yes.,"['gemma3:12b', 'llama3.1:8b', 'mistral:7b', 'phi4:14b']",[],4,0,100,4,0,0,FALSE,n/a,"{'yes': 4, 'no': 0, 'n/a': 0}",not_flagged,FALSE,4,0,1,Question_06.1,46,34,15
java/4drian3d@AuthMeVelocity/gha_gradle.yml,Question_06.1,4,yes,yes.,"['gemma3:12b', 'llama3.1:8b', 'mistral:7b']",['phi4:14b'],3,1,75,3,1,0,FALSE,n/a,"{'yes': 3, 'no': 1, 'n/a': 0}",not_flagged,FALSE,3,1,1,Question_06.2,67,21,7
java/721806280@lark-notice-plugin/gha_jenkins-security-scan.yml,Question_06.1,4,yes,yes.,"['llama3.1:8b', 'mistral:7b']","['gemma3:12b', 'phi4:14b']",2,2,50,2,1,1,TRUE,n/a,"{'yes': 2, 'no': 1, 'n/a': 1}",manual_check,TRUE,2,1,2,Question_06.3,9,82,4
java/ASSERT-KTH@sorald/gha_sorald_buildbreaker.yml,Question_06.1,4,yes,yes.,"['gemma3:12b', 'llama3.1:8b', 'mistral:7b', 'phi4:14b']",[],4,0,100,4,0,0,FALSE,n/a,"{'yes': 4, 'no': 0, 'n/a': 0}",not_flagged,FALSE,4,0,1,Question_06.4,11,65,19
java/Ahoo-Wang@CosId/gha_benchmark-test.yml,Question_06.1,4,yes,yes.,"['gemma3:12b', 'llama3.1:8b', 'mistral:7b']",['phi4:14b'],3,1,75,3,1,0,FALSE,n/a,"{'yes': 3, 'no': 1, 'n/a': 0}",not_flagged,FALSE,3,1,1,Question_06.5,1,47,47
java/Aiven-Open@jdbc-connector-for-apache-kafka/gha_create_release.yml,Question_06.1,4,yes,yes.,"['gemma3:12b', 'llama3.1:8b', 'mistral:7b', 'phi4:14b']",[],4,0,100,4,0,0,FALSE,n/a,"{'yes': 4, 'no': 0, 'n/a': 0}",not_flagged,FALSE,4,0,1,Question_06.6,12,37,46
java/Aiven-Open@transforms-for-apache-kafka-connect/gha_master_push_and_pull_request_workflow.yml,Question_06.1,4,yes,yes.,"['gemma3:12b', 'llama3.1:8b', 'mistral:7b', 'phi4:14b']",[],4,0,100,4,0,0,FALSE,n/a,"{'yes': 4, 'no': 0, 'n/a': 0}",not_flagged,FALSE,4,0,1,Question_06.7,12,27,56
java/Aizistral-Studios@No-Chat-Reports/gha_gitlabsync.yml,Question_06.1,4,yes,yes.,"['gemma3:12b', 'llama3.1:8b', 'mistral:7b', 'phi4:14b']",[],4,0,100,4,0,0,FALSE,n/a,"{'yes': 4, 'no': 0, 'n/a': 0}",not_flagged,FALSE,4,0,1,Question_06.8,76,17,2
java/AlexProgrammerDE@PistonQueue/gha_gradle.yml,Question_06.1,4,yes,yes.,"['gemma3:12b', 'llama3.1:8b', 'mistral:7b', 'phi4:14b']",[],4,0,100,4,0,0,FALSE,n/a,"{'yes': 4, 'no': 0, 'n/a': 0}",not_flagged,FALSE,4,0,1,Question_06.9,20,48,27
java/AlloyTools@org.alloytools.alloy/gha_build.yml,Question_06.1,4,yes,yes.,"['gemma3:12b', 'llama3.1:8b', 'mistral:7b']",['phi4:14b'],3,1,75,3,1,0,FALSE,n/a,"{'yes': 3, 'no': 1, 'n/a': 0}",not_flagged,FALSE,3,1,1,Question_06.10,10,24,61
